"rank","film_id","title","rental_duration","replacement_cost","rental_rate","breakeven_time_of_rental","rate_of_return","breakeven_day","total_sales_excepted_by_film","total_count_by_film","actor_list"
"28",167,"Coma Head",6,"10.99","4.99","2.20","0.45","14","129.74","26","Cameron Wray, Renee Tracy, Geoffrey Heston"
"28",460,"Innocent Usual",3,"26.99","4.99","5.41","0.18","17","129.74","26","Dan Torn, Christian Akroyd, James Pitt"
"28",683,"Pity Bound",5,"19.99","4.99","4.01","0.25","21","129.74","26","Goldie Brody, Angela Hudson, Albert Nolte, Gene Hopkins, Gene Mckellen"
"28",670,"Pelican Comforts",4,"17.99","4.99","3.61","0.28","15","129.74","26","Bob Fawcett, Julia Barrymore, Groucho Sinatra, Whoopi Hurt, Russell Temple"
"28",938,"Velvet Terminator",3,"14.99","4.99","3.00","0.33","9","129.74","26","Zero Cage, Johnny Cage, Angela Hudson, Sean Williams, Cary Mcconaughey, Cuba Allen, Daryl Crawford, Minnie Kilmer, Meryl Allen"
"36",624,"Nightmare Chill",3,"25.99","4.99","5.21","0.19","16","124.75","25","Walter Torn, Gene Hopkins"
"36",172,"Coneheads Smoochy",7,"12.99","4.99","2.60","0.38","19","124.75","25","Johnny Lollobrigida, Dan Torn, Julia Mcqueen, Alec Wayne, Audrey Olivier, Julia Barrymore, Gina Degeneres, Warren Jackman, Richard Penn"
"36",791,"Show Lord",3,"24.99","4.99","5.01","0.20","16","124.75","25","Kenneth Paltrow, Kevin Garland"
"36",989,"Working Microcosmos",4,"22.99","4.99","4.61","0.22","19","124.75","25","Val Bolger, Kenneth Torn, Lucille Dee, Geoffrey Heston, Rock Dukakis"
"36",856,"Streetcar Intentions",5,"11.99","4.99","2.40","0.42","12","124.75","25","Vivien Bergen, Sandra Kilmer, Christian Akroyd, Michelle Mcconaughey, Ellen Presley, Russell Bacall, Laurence Bullock"
"36",902,"Trading Pinocchio",6,"22.99","4.99","4.61","0.22","28","124.75","25","Bette Nicholson, Nick Stallone, Milla Keitel"
"42",253,"Drifter Commandments",5,"18.99","4.99","3.81","0.26","20","119.76","24","Vivien Bergen, Kirsten Paltrow, Val Bolger, Henry Berry, Spencer Peck, Al Garland, Audrey Bailey"
"42",551,"Maiden Home",3,"9.99","4.99","2.00","0.50","6","119.76","24","Woody Hoffman, Christian Akroyd, Henry Berry, Woody Jolie, Kenneth Torn, Daryl Wahlberg, Jayne Nolte, Gregory Gooding"
"42",775,"Seattle Expecations",4,"18.99","4.99","3.81","0.26","16","119.76","24","Elvis Marx, Milla Peck, Kenneth Torn, Scarlett Bening, Fay Wood, Gregory Gooding"
"42",804,"Sleeping Suspects",7,"13.99","4.99","2.80","0.36","20","119.76","24","Kirsten Paltrow, Sandra Kilmer, Milla Keitel, Will Wilson"
"42",527,"Lola Agent",4,"24.99","4.99","5.01","0.20","21","119.76","24","Lucille Tracy, Tom Miranda, Scarlett Damon, Woody Jolie, Kim Allen, Geoffrey Heston"
"42",45,"Attraction Newton",5,"14.99","4.99","3.00","0.33","15","119.76","24","Uma Wood, Rip Winslet, Gary Penn, Christopher West"
"42",131,"Center Dinosaur",5,"12.99","4.99","2.60","0.38","13","119.76","24","Alec Wayne, Fay Winslet, Geoffrey Heston, Ed Guiness"
"42",865,"Sunrise League",3,"19.99","4.99","4.01","0.25","13","119.76","24","Johnny Lollobrigida, Joe Swank, Tom Miranda, Sean Williams, Russell Bacall"
"50",995,"Yentl Idaho",5,"11.99","4.99","2.40","0.42","12","114.77","23","Reese West"
"50",961,"Wash Heavenly",7,"22.99","4.99","4.61","0.22","33","114.77","23","Mena Temple, Spencer Peck, Susan Davis, Morgan Mcdormand, Salma Nolte"
"50",10,"Aladdin Calendar",6,"24.99","4.99","5.01","0.20","31","114.77","23","Alec Wayne, Judy Dean, Val Bolger, Ray Johansson, Renee Tracy, Jada Ryder, Greta Malden, Rock Dukakis"
"50",117,"Candles Grapes",6,"15.99","4.99","3.20","0.31","20","114.77","23","Sandra Kilmer, Reese Kilmer, Angela Hudson, Milla Keitel, Charlize Dench, Albert Johansson, John Suvari"
"50",843,"Steel Santa",4,"15.99","4.99","3.20","0.31","13","114.77","23","Uma Wood, James Pitt, Mary Keitel"
"50",327,"Fool Mockingbird",3,"24.99","4.99","5.01","0.20","16","114.77","23","Rip Crawford, Natalie Hopkins"
"50",892,"Titanic Boondock",3,"18.99","4.99","3.81","0.26","12","114.77","23","Bette Nicholson, Dan Harris, Penelope Cronyn, Warren Nolte, Julianne Dench, Ewan Gooding, Jayne Nolte, Geoffrey Heston, Will Wilson, Olympia Pfeiffer, Matthew Carrey, Mary Keitel"
"50",271,"Easy Gladiator",5,"12.99","4.99","2.60","0.38","13","114.77","23","Fred Costner, Matthew Leigh, Ed Mansfield"
"50",614,"Name Detective",5,"11.99","4.99","2.40","0.42","12","114.77","23","Warren Jackman, Cate Mcqueen, John Suvari"
"50",412,"Heavyweights Beast",6,"25.99","4.99","5.21","0.19","32","114.77","23","Ben Willis, Dan Streep, Warren Jackman, Rock Dukakis, Burt Temple"
"50",915,"Truman Crazy",7,"9.99","4.99","2.00","0.50","14","114.77","23","Burt Dukakis, Carmen Hunt, Mary Tandy, Jessica Bailey, Sidney Crowe, Gene Hopkins"
"50",320,"Flamingos Connecticut",4,"28.99","4.99","5.81","0.17","24","114.77","23","Goldie Brody, Tom Miranda, Fay Kilmer, Kenneth Torn, Gene Willis, Jane Jackman, Rita Reynolds, Albert Johansson, Jon Chase"
"50",771,"Scorpion Apollo",3,"23.99","4.99","4.81","0.21","15","114.77","23","Matthew Johansson, Bob Fawcett, Julia Mcqueen, Henry Berry, Sean Guiness, Liza Bergman, Kevin Garland, Groucho Williams"
"50",334,"Freddy Storm",6,"21.99","4.99","4.41","0.23","27","114.77","23","Julia Mcqueen, Henry Berry, Walter Torn"
"50",676,"Philadelphia Wife",7,"16.99","4.99","3.40","0.29","24","114.77","23","Mary Tandy, Sean Guiness"
"65",706,"Queen Luke",5,"22.99","4.99","4.61","0.22","24","109.78","22","Mary Tandy, Rip Winslet, Spencer Peck, Ewan Gooding, River Dean, Jayne Silverstone"
"65",500,"Kiss Glory",5,"11.99","4.99","2.40","0.42","12","109.78","22","Cuba Olivier, Helen Voight, Julia Mcqueen, Tom Miranda, Groucho Dunst, Oprah Kilmer, Humphrey Garland"
"65",267,"Eagles Panky",4,"14.99","4.99","3.00","0.33","12","109.78","22","Fred Costner, Frances Day-Lewis, Jude Cruise, Mae Hoffman, Scarlett Damon, Chris Depp"
"65",518,"Liaisons Sweet",5,"15.99","4.99","3.20","0.31","16","109.78","22","Nick Wahlberg, Mena Temple, Christian Neeson, Meg Hawke, Fay Wood, Michael Bolger"
"65",814,"Snatch Slipper",6,"15.99","4.99","3.20","0.31","20","109.78","22","Scarlett Bening, Cate Mcqueen, Rita Reynolds"
"65",21,"American Circus",3,"17.99","4.99","3.61","0.28","11","109.78","22","Kevin Bloom, Rip Crawford, Sidney Crowe, Warren Jackman, Frances Tomei"
"65",61,"Beauty Grease",5,"28.99","4.99","5.81","0.17","30","109.78","22","Cameron Zellweger, Ed Mansfield, Lucille Dee, Nick Degeneres, Michael Bening"
"65",408,"Head Stranger",4,"28.99","4.99","5.81","0.17","24","109.78","22","Gary Phoenix, Jessica Bailey"
"65",898,"Tourist Pelican",4,"18.99","4.99","3.81","0.26","16","109.78","22","Penelope Monroe, Ben Harris, Olympia Pfeiffer"
"65",985,"Wonderland Christmas",4,"19.99","4.99","4.01","0.25","17","109.78","22","Cuba Olivier, Woody Jolie, Chris Bridges, Harrison Bale, Humphrey Garland"
"65",556,"Maltese Hope",6,"26.99","4.99","5.41","0.18","33","109.78","22","Angela Hudson"
"65",575,"Midsummer Groundhog",3,"27.99","4.99","5.61","0.18","17","109.78","22","Jada Ryder, Bela Walken"
"65",972,"Whisperer Giant",4,"24.99","4.99","5.01","0.20","21","109.78","22","Milla Peck, Jessica Bailey, Bela Walken"
"65",300,"Falcon Volume",5,"21.99","4.99","4.41","0.23","23","109.78","22","Mary Tandy, Kenneth Paltrow, Salma Nolte, Ed Mansfield"
"65",444,"Hustler Party",3,"22.99","4.99","4.61","0.22","14","109.78","22","Alec Wayne, Angelina Astaire, Minnie Kilmer, Christopher West"
"80",313,"Fidelity Devil",5,"11.99","4.99","2.40","0.42","12","104.79","21","Helen Voight, Penelope Cronyn, Alan Dreyfuss, Russell Close"
"80",596,"Moonshine Cabin",4,"25.99","4.99","5.21","0.19","21","104.79","21","Jodie Degeneres, Carmen Hunt, William Hackman, Matthew Carrey, Gregory Gooding"
"80",755,"Sabrina Midnight",5,"11.99","4.99","2.40","0.42","12","104.79","21","Kevin Bloom, Christian Akroyd, Meg Hawke, Chris Depp"
"80",776,"Secret Groundhog",6,"11.99","4.99","2.40","0.42","15","104.79","21","Fay Kilmer, Mae Hoffman, Angela Witherspoon"
"80",922,"Undefeated Dalmations",7,"22.99","4.99","4.61","0.22","33","104.79","21","Tom Miranda, Frances Day-Lewis, Albert Johansson"
"80",255,"Driving Polish",6,"21.99","4.99","4.41","0.23","27","104.79","21","Matthew Johansson, Vivien Bergen, Rip Winslet, Susan Davis, Penelope Monroe, Nick Degeneres, Will Wilson"
"80",637,"Open African",7,"16.99","4.99","3.40","0.29","24","104.79","21","Grace Mostel, Julia Mcqueen, Sissy Sobieski, Jude Cruise, Milla Keitel, Gina Degeneres, Adam Hopper, Vivien Basinger, Julia Zellweger"
"80",846,"Sting Personal",3,"9.99","4.99","2.00","0.50","6","104.79","21","Grace Mostel, Audrey Olivier, Gene Willis, Spencer Depp, Harrison Bale, Kevin Garland, Ben Harris"
"80",112,"Calendar Gunfight",4,"22.99","4.99","4.61","0.22","19","104.79","21","Bette Nicholson, Cameron Streep, Tim Hackman, Milla Peck, Gary Phoenix, Gina Degeneres, Greta Keitel, Whoopi Hurt"
"80",861,"Suit Walls",3,"12.99","4.99","2.60","0.38","8","104.79","21","Tom Miranda, Penelope Pinkett, Jessica Bailey, Morgan Mcdormand, Gene Hopkins"
"80",100,"Brooklyn Desert",7,"21.99","4.99","4.41","0.23","31","104.79","21","Jodie Degeneres, Jayne Neeson, Sean Guiness, Albert Nolte, Groucho Williams"
"80",354,"Ghost Groundhog",6,"18.99","4.99","3.81","0.26","23","104.79","21","Dan Harris, Kenneth Torn, Kevin Garland, Russell Temple, Renee Ball"
"92",409,"Heartbreakers Bright",3,"9.99","4.99","2.00","0.50","6","99.80","20","Gina Degeneres, Kim Allen, Oprah Kilmer, Christopher West, Matthew Carrey"
"92",578,"Million Ace",4,"16.99","4.99","3.40","0.29","14","99.80","20","Christian Akroyd, Scarlett Damon, Renee Tracy, Ben Harris, John Suvari"
"92",694,"Prejudice Oleander",6,"15.99","4.99","3.20","0.31","20","99.80","20","Christian Gable, Milla Peck, Val Bolger, Dustin Tautou, Ray Johansson, Angela Hudson, Cary Mcconaughey, Sylvester Dern, Kenneth Hoffman, Michael Bolger"
"92",778,"Secrets Paradise",3,"24.99","4.99","5.01","0.20","16","99.80","20","Reese Kilmer, Gene Willis, Renee Tracy, Whoopi Hurt, Kenneth Hoffman, William Hackman"
"92",827,"Spice Sorority",5,"22.99","4.99","4.61","0.22","24","99.80","20","Ed Chase, Woody Hoffman, Tom Mckellen, Kirk Jovovich, Fay Kilmer, Scarlett Damon, Morgan Mcdormand, Michael Bening, Jon Chase, Gene Mckellen, Gregory Gooding"
"92",501,"Kissing Dolls",3,"9.99","4.99","2.00","0.50","6","99.80","20","Tom Mckellen, Jada Ryder, Geoffrey Heston"
"92",579,"Minds Truman",3,"22.99","4.99","4.61","0.22","14","99.80","20","Anne Cronyn, Burt Posey, Scarlett Damon, Chris Depp, Matthew Carrey, Julia Zellweger"
"92",668,"Peak Forever",7,"25.99","4.99","5.21","0.19","37","99.80","20","Audrey Olivier, Kenneth Pesci, Angela Witherspoon, Debbie Akroyd, Gregory Gooding"
"92",350,"Garden Island",3,"21.99","4.99","4.41","0.23","14","99.80","20","Mary Tandy, Warren Nolte, Jada Ryder"
"92",486,"Jet Neighbors",7,"14.99","4.99","3.00","0.33","21","99.80","20","Fay Kilmer, Greg Chaplin, Gene Willis, Minnie Kilmer, Humphrey Garland, Meryl Allen"
"92",845,"Stepmom Dream",7,"9.99","4.99","2.00","0.50","14","99.80","20","Walter Torn, Angela Witherspoon, Debbie Akroyd, Michael Bolger"
"92",680,"Pinocchio Simon",4,"21.99","4.99","4.41","0.23","18","99.80","20","Kirsten Paltrow, Reese Kilmer, Ralph Cruz, Ellen Presley, Cameron Zellweger, Morgan Hopkins, River Dean, Ben Harris, Meryl Gibson, Laura Brody, John Suvari"
"92",465,"Interview Liaisons",4,"17.99","4.99","3.61","0.28","15","99.80","20","Mena Temple, Jayne Neeson, Scarlett Damon, John Suvari, Thora Temple"
"92",139,"Chasing Fight",7,"21.99","4.99","4.41","0.23","31","99.80","20","Tom Miranda, Jada Ryder, Fay Winslet, Russell Temple, Mena Hopper"
"92",805,"Sleepless Monsoon",5,"12.99","4.99","2.60","0.38","13","99.80","20","Grace Mostel, Julia Mcqueen, Henry Berry, Daryl Crawford"
"92",439,"Hunchback Impossible",4,"28.99","4.99","5.81","0.17","24","99.80","20","Groucho Dunst, William Hackman"
"108",331,"Forward Temple",6,"25.99","2.99","8.69","0.12","53","95.68","32","Rip Winslet, Sean Williams, Greg Chaplin"
"109",725,"Requiem Tycoon",6,"25.99","4.99","5.21","0.19","32","94.81","19","Anne Cronyn, Mena Temple, Mary Tandy, Jessica Bailey, Michelle Mcconaughey, Chris Bridges, Julianne Dench, Greta Keitel"
"109",710,"Rage Games",4,"18.99","4.99","3.81","0.26","16","94.81","19","Scarlett Damon, Chris Bridges, Renee Tracy, Albert Nolte, Kevin Garland, Jada Ryder, Groucho Williams"
"109",396,"Hanging Deep",5,"18.99","4.99","3.81","0.26","20","94.81","19","Matthew Johansson, Johnny Cage, Rip Winslet, Kenneth Paltrow, Angela Witherspoon, Meryl Gibson, Rock Dukakis"
"109",451,"Igby Maker",7,"12.99","4.99","2.60","0.38","19","94.81","19","Bette Nicholson, Sean Guiness, Dan Streep, Geoffrey Heston, Michael Bening"
"109",734,"Road Roxanne",4,"12.99","4.99","2.60","0.38","11","94.81","19","Helen Voight, Kirsten Paltrow, Julia Barrymore, Gary Phoenix, Chris Bridges, Albert Johansson, Laurence Bullock, Cuba Birch"
"109",222,"Desert Poseidon",4,"27.99","4.99","5.61","0.18","23","94.81","19","Goldie Brody, Henry Berry, Burt Posey, Liza Bergman, Renee Ball"
"109",243,"Doors President",3,"22.99","4.99","4.61","0.22","14","94.81","19","Karl Berry, Lucille Tracy, Natalie Hopkins, Christian Akroyd, Sylvester Dern, Gene Hopkins, Ed Mansfield, Kim Allen, Reese West"
"109",580,"Mine Titans",3,"12.99","4.99","2.60","0.38","8","94.81","19","Nick Degeneres, Humphrey Garland"
"109",48,"Backlash Undefeated",3,"24.99","4.99","5.01","0.20","16","94.81","19","Christian Akroyd, Spencer Peck, Christopher Berry, Sylvester Dern, Dan Streep, Kevin Garland, Jane Jackman"
"109",227,"Details Packer",4,"17.99","4.99","3.61","0.28","15","94.81","19","Michelle Mcconaughey, Salma Nolte"
"109",818,"Something Duck",4,"17.99","4.99","3.61","0.28","15","94.81","19","Ed Mansfield, Laura Brody, Michael Bolger"
"109",785,"Shawshank Bubble",6,"20.99","4.99","4.21","0.24","26","94.81","19","Bob Fawcett, Val Bolger, Kenneth Pesci, Sylvester Dern, Renee Tracy, Scarlett Bening, Angela Witherspoon, Ian Tandy, Christopher West, Julia Fawcett"
"109",887,"Thief Pelican",5,"28.99","4.99","5.81","0.17","30","94.81","19","Kirsten Paltrow, Johnny Cage, James Pitt, Warren Nolte, Harrison Bale, Renee Tracy, Jayne Nolte"
"122",621,"Network Peak",5,"23.99","2.99","8.02","0.12","41","92.69","31","Kirk Jovovich, Natalie Hopkins, Ellen Presley"
"122",735,"Robbers Joon",7,"26.99","2.99","9.03","0.11","64","92.69","31","Milla Peck, Angela Hudson, Matthew Leigh, Cuba Allen, Jada Ryder"
"124",777,"Secretary Rouge",5,"10.99","4.99","2.20","0.45","11","89.82","18","Julia Barrymore, Ben Willis, Ellen Presley, Cameron Zellweger, Jayne Nolte, Jeff Silverstone"
"124",77,"Birds Perdition",5,"15.99","4.99","3.20","0.31","16","89.82","18","Sandra Peck, Gary Penn, Sylvester Dern, Whoopi Hurt"
"124",583,"Mission Zoolander",3,"26.99","4.99","5.41","0.18","17","89.82","18","Fred Costner, Kevin Bloom, Tom Mckellen, Penelope Cronyn, Lucille Dee"
"124",8,"Airport Pollock",6,"15.99","4.99","3.20","0.31","20","89.82","18","Fay Kilmer, Gene Willis, Susan Davis, Lucille Dee"
"124",346,"Galaxy Sweethearts",4,"13.99","4.99","2.80","0.36","12","89.82","18","Uma Wood, Debbie Akroyd, Thora Temple"
"124",456,"Inch Jet",6,"18.99","4.99","3.81","0.26","23","89.82","18","Uma Wood, Fred Costner, Goldie Brody, Parker Goldberg, Matthew Carrey"
"124",971,"Whale Bikini",4,"11.99","4.99","2.40","0.42","10","89.82","18","Ed Chase, Audrey Olivier, Henry Berry, Rip Winslet, Gregory Gooding"
"124",294,"Expecations Natural",5,"26.99","4.99","5.41","0.18","28","89.82","18","Elvis Marx, Daryl Wahlberg, Laurence Bullock"
"124",385,"Groundhog Uncut",6,"26.99","4.99","5.41","0.18","33","89.82","18","Uma Wood, Julia Barrymore, Jayne Neeson, Adam Grant, Sean Guiness, Richard Penn, Groucho Williams"
"124",871,"Sweden Shining",6,"19.99","4.99","4.01","0.25","25","89.82","18","Karl Berry, Kevin Bloom, Mary Tandy, Albert Johansson, Mary Keitel"
"124",212,"Darn Forrester",7,"14.99","4.99","3.00","0.33","21","89.82","18","Bob Fawcett, Sandra Kilmer, Jodie Degeneres, Ralph Cruz, Charlize Dench, Sean Guiness, Chris Bridges, Cate Mcqueen, Mena Hopper"
"124",768,"Scarface Bang",3,"11.99","4.99","2.40","0.42","8","89.82","18","Parker Goldberg, Ellen Presley, Cate Harris, Emily Dee, Ben Harris, Ian Tandy, Renee Ball"
"124",215,"Dawn Pond",4,"27.99","4.99","5.61","0.18","23","89.82","18","Rip Winslet, Scarlett Damon, Matthew Leigh, Vivien Basinger, Groucho Williams, Meryl Allen"
"124",251,"Dragonfly Strangers",6,"19.99","4.99","4.01","0.25","25","89.82","18","Christian Gable, Angelina Astaire, Fay Winslet"
"138",702,"Pulp Beverly",4,"12.99","2.99","4.34","0.23","18","89.70","30","Kirsten Paltrow, Dustin Tautou, Susan Davis, Warren Nolte, Greta Keitel, Whoopi Hurt, Angela Witherspoon"
"138",450,"Idols Snatchers",5,"29.99","2.99","10.03","0.10","51","89.70","30","Tom Mckellen, Adam Grant, Sean Williams, Russell Bacall, Albert Nolte, Jane Jackman, Olympia Pfeiffer, Mary Keitel"
"138",869,"Suspects Quills",4,"22.99","2.99","7.69","0.13","31","89.70","30","Johnny Cage, Michelle Mcconaughey, Minnie Zellweger, Russell Bacall, Greta Keitel, Vivien Basinger, Jeff Silverstone, Jayne Silverstone"
"138",789,"Shock Cabin",7,"15.99","2.99","5.35","0.19","38","89.70","30","Laura Brody"
"138",609,"Muscle Bright",7,"23.99","2.99","8.02","0.12","57","89.70","30","Sean Williams, Matthew Leigh, Groucho Williams, Jeff Silverstone, Matthew Carrey"
"138",559,"Married Go",7,"22.99","2.99","7.69","0.13","54","89.70","30","Goldie Brody, Frances Day-Lewis, Groucho Dunst"
"144",378,"Greatest North",5,"24.99","2.99","8.36","0.12","42","86.71","29","Helen Voight, Rip Winslet, Matthew Leigh, Warren Nolte, Cuba Birch, Gregory Gooding"
"144",361,"Gleaming Jawbreaker",5,"25.99","2.99","8.69","0.12","44","86.71","29","Penelope Guiness, Mary Tandy, Albert Nolte, River Dean, Ian Tandy, Nick Degeneres, John Suvari, Jayne Silverstone"
"144",73,"Bingo Talented",5,"22.99","2.99","7.69","0.13","39","86.71","29","Goldie Brody, Cameron Wray, Cary Mcconaughey, Jon Chase, Renee Ball"
"144",220,"Deer Virginian",7,"13.99","2.99","4.68","0.21","33","86.71","29","Gina Degeneres, Liza Bergman, Ian Tandy"
"148",763,"Satisfaction Confidential",3,"26.99","4.99","5.41","0.18","17","84.83","17","Cameron Wray, Groucho Dunst, Kevin Garland, Gene Mckellen, John Suvari"
"148",95,"Breakfast Goldfinger",5,"18.99","4.99","3.81","0.26","20","84.83","17","Angelina Astaire, Russell Temple, Al Garland, Michael Bolger, Julia Zellweger"
"148",506,"Lady Stage",4,"14.99","4.99","3.00","0.33","12","84.83","17","Penelope Guiness, Frances Day-Lewis, Anne Cronyn, Ray Johansson, Penelope Cronyn, Harrison Bale, Jeff Silverstone, Rock Dukakis"
"148",70,"Bikini Borrowers",7,"26.99","4.99","5.41","0.18","38","84.83","17","Bette Nicholson, Penelope Cronyn"
"148",398,"Hanover Galaxy",5,"21.99","4.99","4.41","0.23","23","84.83","17","Jennifer Davis, Kirsten Paltrow, Julia Mcqueen, Jayne Neeson, Angela Hudson, Scarlett Damon, Kenneth Hoffman"
"148",324,"Flintstones Happiness",3,"11.99","4.99","2.40","0.42","8","84.83","17","Albert Nolte, Humphrey Willis, Debbie Akroyd, Bela Walken"
"148",265,"Dying Maker",5,"28.99","4.99","5.81","0.17","30","84.83","17","Groucho Sinatra, Michael Bolger"
"148",964,"Waterfront Deliverance",4,"17.99","4.99","3.61","0.28","15","84.83","17","Joe Swank, Christian Gable, Elvis Marx, Michelle Mcconaughey, Sean Williams, Ben Harris"
"148",183,"Conversation Downhill",4,"14.99","4.99","3.00","0.33","12","84.83","17","Dustin Tautou, Chris Bridges, Greta Malden"
"148",854,"Strangers Graffiti",4,"22.99","4.99","4.61","0.22","19","84.83","17","Zero Cage, Julia Mcqueen, Nick Stallone, Sean Williams, Jayne Nolte"
"148",336,"French Holiday",5,"22.99","4.99","4.61","0.22","24","84.83","17","Ed Chase, Audrey Olivier, Jodie Degeneres, Dan Streep, Cate Mcqueen, Will Wilson, Humphrey Garland"
"148",611,"Musketeers Wait",7,"17.99","4.99","3.61","0.28","26","84.83","17","Ben Harris"
"148",859,"Sugar Wonka",3,"20.99","4.99","4.21","0.24","13","84.83","17","Matthew Johansson, Christopher Berry, Gina Degeneres, Jada Ryder, Jon Chase"
